neighborhood,group_name,type,website,contact_email,description
Mission,Mission Merchants & Business Alliance,Business Group,https://example.org/mission-merchants,contact@missionmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Mission."
Mission,Mission District Community Gardeners,Group,https://example.org/mission-gardens,gardens@missioncommunity.org,"Organizing volunteer cleanups and planting days in the shared community gardens of the Mission."
Mission,Calle 24 Latino Cultural District,Cultural Alliance,https://example.org/calle24,info@calle24sf.org,"Preserving the Latino cultural heritage and local businesses along the 24th Street corridor."
Mission Bay,Mission Bay Neighborhood Association,Association,https://example.org/missionbay-neighborhood,info@missionbaycommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Mission Bay."
Mission Bay,Friends of Mission Bay,Community Group,https://example.org/friends-of-missionbay,hello@friendsofmissionbay.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Mission Bay."
Mission Dolores,Mission Dolores Neighborhood Association,Association,https://example.org/missiondolores-neighborhood,info@missiondolorescommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Mission Dolores."
Mission Dolores,Friends of Mission Dolores,Community Group,https://example.org/friends-of-missiondolores,hello@friendsofmissiondolores.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Mission Dolores."
Mission Terrace,Mission Terrace Neighborhood Association,Association,https://example.org/missionterrace-neighborhood,info@missionterracecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Mission Terrace."
Mission Terrace,Friends of Mission Terrace,Community Group,https://example.org/friends-of-missionterrace,hello@friendsofmissionterrace.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Mission Terrace."
Monterey Heights,Monterey Heights Neighborhood Association,Association,https://example.org/montereyheights-neighborhood,info@montereyheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Monterey Heights."
Monterey Heights,Friends of Monterey Heights,Community Group,https://example.org/friends-of-montereyheights,hello@friendsofmontereyheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Monterey Heights."
Mt. Davidson Manor,Mt. Davidson Manor Neighborhood Association,Association,https://example.org/mtdavidsonmanor-neighborhood,info@mtdavidsonmanorcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Mt. Davidson Manor."
Mt. Davidson Manor,Friends of Mt. Davidson Manor,Community Group,https://example.org/friends-of-mtdavidsonmanor,hello@friendsofmtdavidsonmanor.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Mt. Davidson Manor."
Nob Hill,Nob Hill Neighborhood Association,Association,https://example.org/nobhill-assoc,info@nobhillassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Nob Hill."
Nob Hill,Nob Hill Merchants & Business Alliance,Business Group,https://example.org/nobhill-merchants,contact@nobhillmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Nob Hill."
Noe Valley,Noe Valley Neighborhood Association,Association,https://example.org/noevalley-assoc,info@noevalleyassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Noe Valley."
Noe Valley,Noe Valley Merchants & Business Alliance,Business Group,https://example.org/noevalley-merchants,contact@noevalleymerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Noe Valley."
North Beach,North Beach Neighborhood Association,Association,https://example.org/northbeach-assoc,info@northbeachassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in North Beach."
North Beach,North Beach Merchants & Business Alliance,Business Group,https://example.org/northbeach-merchants,contact@northbeachmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in North Beach."
Northern Waterfront,Northern Waterfront Neighborhood Association,Association,https://example.org/northernwaterfront-neighborhood,info@northernwaterfrontcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Northern Waterfront."
Northern Waterfront,Friends of Northern Waterfront,Community Group,https://example.org/friends-of-northernwaterfront,hello@friendsofnorthernwaterfront.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Northern Waterfront."
Oceanview,Oceanview Neighborhood Association,Association,https://example.org/oceanview-assoc,info@oceanviewassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Oceanview."
Oceanview,Oceanview Merchants & Business Alliance,Business Group,https://example.org/oceanview-merchants,contact@oceanviewmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Oceanview."
Outer Mission,Outer Mission Neighborhood Association,Association,https://example.org/outermission-assoc,info@outermissionassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Outer Mission."
Outer Mission,Outer Mission Merchants & Business Alliance,Business Group,https://example.org/outermission-merchants,contact@outermissionmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Outer Mission."
Outer Richmond,Outer Richmond Neighborhood Association,Association,https://example.org/outerrichmond-assoc,info@outerrichmondassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Outer Richmond."
Outer Richmond,Outer Richmond Merchants & Business Alliance,Business Group,https://example.org/outerrichmond-merchants,contact@outerrichmondmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Outer Richmond."
Outer Sunset,Outer Sunset Neighborhood Association,Association,https://example.org/outersunset-assoc,info@outersunsetassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Outer Sunset."
Outer Sunset,Outer Sunset Merchants & Business Alliance,Business Group,https://example.org/outersunset-merchants,contact@outersunsetmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Outer Sunset."
Pacific Heights,Pacific Heights Neighborhood Association,Association,https://example.org/pacificheights-assoc,info@pacificheightsassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Pacific Heights."
Pacific Heights,Pacific Heights Merchants & Business Alliance,Business Group,https://example.org/pacificheights-merchants,contact@pacificheightsmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Pacific Heights."
Panhandle,Panhandle Neighborhood Association,Association,https://example.org/panhandle-neighborhood,info@panhandlecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Panhandle."
Panhandle,Friends of Panhandle,Community Group,https://example.org/friends-of-panhandle,hello@friendsofpanhandle.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Panhandle."
Parkmerced,Parkmerced Neighborhood Association,Association,https://example.org/parkmerced-neighborhood,info@parkmercedcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Parkmerced."
Parkmerced,Friends of Parkmerced,Community Group,https://example.org/friends-of-parkmerced,hello@friendsofparkmerced.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Parkmerced."
Parkside,Parkside Neighborhood Association,Association,https://example.org/parkside-assoc,info@parksideassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Parkside."
Parkside,Parkside Merchants & Business Alliance,Business Group,https://example.org/parkside-merchants,contact@parksidemerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Parkside."
Parnassus Heights,Parnassus Heights Neighborhood Association,Association,https://example.org/parnassusheights-neighborhood,info@parnassusheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Parnassus Heights."
Parnassus Heights,Friends of Parnassus Heights,Community Group,https://example.org/friends-of-parnassusheights,hello@friendsofparnassusheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Parnassus Heights."
Peralta Heights,Peralta Heights Neighborhood Association,Association,https://example.org/peraltaheights-neighborhood,info@peraltaheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Peralta Heights."
Peralta Heights,Friends of Peralta Heights,Community Group,https://example.org/friends-of-peraltaheights,hello@friendsofperaltaheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Peralta Heights."
Polk Gulch,Polk Gulch Neighborhood Association,Association,https://example.org/polkgulch-neighborhood,info@polkgulchcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Polk Gulch."
Polk Gulch,Friends of Polk Gulch,Community Group,https://example.org/friends-of-polkgulch,hello@friendsofpolkgulch.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Polk Gulch."
Portola,Portola Neighborhood Association,Association,https://example.org/portola-neighborhood,info@portolacommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Portola."
Portola,Friends of Portola,Community Group,https://example.org/friends-of-portola,hello@friendsofportola.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Portola."
Potrero Hill,Potrero Hill Neighborhood Association,Association,https://example.org/potrerohill-assoc,info@potrerohillassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Potrero Hill."
Potrero Hill,Potrero Hill Merchants & Business Alliance,Business Group,https://example.org/potrerohill-merchants,contact@potrerohillmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Potrero Hill."
Presidio Heights,Presidio Heights Neighborhood Association,Association,https://example.org/presidioheights-assoc,info@presidioheightsassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Presidio Heights."
Presidio Heights,Presidio Heights Merchants & Business Alliance,Business Group,https://example.org/presidioheights-merchants,contact@presidioheightsmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Presidio Heights."
Presidio National Park,Presidio National Park Neighborhood Association,Association,https://example.org/presidio-assoc,info@presidioassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Presidio National Park."
Presidio National Park,Presidio National Park Merchants & Business Alliance,Business Group,https://example.org/presidio-merchants,contact@presidiomerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Presidio National Park."
Presidio Terrace,Presidio Terrace Neighborhood Association,Association,https://example.org/presidio-assoc,info@presidioassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Presidio Terrace."
Presidio Terrace,Presidio Terrace Merchants & Business Alliance,Business Group,https://example.org/presidio-merchants,contact@presidiomerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Presidio Terrace."
Produce Market,Produce Market Neighborhood Association,Association,https://example.org/producemarket-neighborhood,info@producemarketcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Produce Market."
Produce Market,Friends of Produce Market,Community Group,https://example.org/friends-of-producemarket,hello@friendsofproducemarket.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Produce Market."
Rincon Hill,Rincon Hill Neighborhood Association,Association,https://example.org/rinconhill-neighborhood,info@rinconhillcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Rincon Hill."
Rincon Hill,Friends of Rincon Hill,Community Group,https://example.org/friends-of-rinconhill,hello@friendsofrinconhill.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Rincon Hill."
Russian Hill,Russian Hill Neighborhood Association,Association,https://example.org/russianhill-assoc,info@russianhillassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Russian Hill."
Russian Hill,Russian Hill Merchants & Business Alliance,Business Group,https://example.org/russianhill-merchants,contact@russianhillmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Russian Hill."
Seacliff,Seacliff Neighborhood Association,Association,https://example.org/seacliff-assoc,info@seacliffassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Seacliff."
Seacliff,Seacliff Merchants & Business Alliance,Business Group,https://example.org/seacliff-merchants,contact@seacliffmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Seacliff."
Sherwood Forest,Sherwood Forest Neighborhood Association,Association,https://example.org/sherwoodforest-neighborhood,info@sherwoodforestcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Sherwood Forest."
Sherwood Forest,Friends of Sherwood Forest,Community Group,https://example.org/friends-of-sherwoodforest,hello@friendsofsherwoodforest.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Sherwood Forest."
Showplace Square,Showplace Square Neighborhood Association,Association,https://example.org/showplacesquare-neighborhood,info@showplacesquarecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Showplace Square."
Showplace Square,Friends of Showplace Square,Community Group,https://example.org/friends-of-showplacesquare,hello@friendsofshowplacesquare.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Showplace Square."
Silver Terrace,Silver Terrace Neighborhood Association,Association,https://example.org/silverterrace-neighborhood,info@silverterracecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Silver Terrace."
Silver Terrace,Friends of Silver Terrace,Community Group,https://example.org/friends-of-silverterrace,hello@friendsofsilverterrace.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Silver Terrace."
South Beach,South Beach Neighborhood Association,Association,https://example.org/southbeach-neighborhood,info@southbeachcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in South Beach."
South Beach,Friends of South Beach,Community Group,https://example.org/friends-of-southbeach,hello@friendsofsouthbeach.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across South Beach."
South of Market,South of Market Neighborhood Association,Association,https://example.org/southofmarket-assoc,info@southofmarketassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in South of Market."
South of Market,South of Market Merchants & Business Alliance,Business Group,https://example.org/southofmarket-merchants,contact@southofmarketmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in South of Market."
St. Francis Wood,St. Francis Wood Neighborhood Association,Association,https://example.org/stfranciswood-neighborhood,info@stfranciswoodcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in St. Francis Wood."
St. Francis Wood,Friends of St. Francis Wood,Community Group,https://example.org/friends-of-stfranciswood,hello@friendsofstfranciswood.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across St. Francis Wood."
St. Marys Park,St. Marys Park Neighborhood Association,Association,https://example.org/stmaryspark-neighborhood,info@stmarysparkcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in St. Marys Park."
St. Marys Park,Friends of St. Marys Park,Community Group,https://example.org/friends-of-stmaryspark,hello@friendsofstmaryspark.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across St. Marys Park."
Stonestown,Stonestown Neighborhood Association,Association,https://example.org/stonestown-neighborhood,info@stonestowncommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Stonestown."
Stonestown,Friends of Stonestown,Community Group,https://example.org/friends-of-stonestown,hello@friendsofstonestown.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Stonestown."
Sunnydale,Sunnydale Neighborhood Association,Association,https://example.org/sunnydale-neighborhood,info@sunnydalecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Sunnydale."
Sunnydale,Friends of Sunnydale,Community Group,https://example.org/friends-of-sunnydale,hello@friendsofsunnydale.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Sunnydale."
Sunnyside,Sunnyside Neighborhood Association,Association,https://example.org/sunnyside-neighborhood,info@sunnysidecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Sunnyside."
Sunnyside,Friends of Sunnyside,Community Group,https://example.org/friends-of-sunnyside,hello@friendsofsunnyside.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Sunnyside."
Sutro Heights,Sutro Heights Neighborhood Association,Association,https://example.org/sutroheights-neighborhood,info@sutroheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Sutro Heights."
Sutro Heights,Friends of Sutro Heights,Community Group,https://example.org/friends-of-sutroheights,hello@friendsofsutroheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Sutro Heights."
Telegraph Hill,Telegraph Hill Neighborhood Association,Association,https://example.org/telegraphhill-neighborhood,info@telegraphhillcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Telegraph Hill."
Telegraph Hill,Friends of Telegraph Hill,Community Group,https://example.org/friends-of-telegraphhill,hello@friendsoftelegraphhill.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Telegraph Hill."
Tenderloin,Tenderloin Neighborhood Association,Association,https://example.org/tenderloin-neighborhood,info@tenderloincommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Tenderloin."
Tenderloin,Friends of Tenderloin,Community Group,https://example.org/friends-of-tenderloin,hello@friendsoftenderloin.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Tenderloin."
Treasure Island,Treasure Island YBI Neighborhood Association,Association,https://example.org/treasureislandybi-assoc,info@treasureislandybiassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Treasure Island."
Treasure Island,Treasure Island YBI Merchants & Business Alliance,Business Group,https://example.org/treasureislandybi-merchants,contact@treasureislandybimerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Treasure Island."
Union Street,Union Street Neighborhood Association,Association,https://example.org/unionstreet-neighborhood,info@unionstreetcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Union Street."
Union Street,Friends of Union Street,Community Group,https://example.org/friends-of-unionstreet,hello@friendsofunionstreet.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Union Street."
University Mound,University Mound Neighborhood Association,Association,https://example.org/universitymound-neighborhood,info@universitymoundcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in University Mound."
University Mound,Friends of University Mound,Community Group,https://example.org/friends-of-universitymound,hello@friendsofuniversitymound.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across University Mound."
Upper Market,Castro Upper Market Neighborhood Association,Association,https://example.org/castrouppermarket-assoc,info@castrouppermarketassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Upper Market."
Upper Market,Castro Upper Market Merchants & Business Alliance,Business Group,https://example.org/castrouppermarket-merchants,contact@castrouppermarketmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Upper Market."
Upper Market,Castro LGBTQ Cultural District Committee,Cultural Alliance,https://example.org/castrodistrict,hello@castrocd.org,"Celebrating and preserving LGBTQ history, culture, and community assets in the Castro neighborhood."
Visitacion Valley,Visitacion Valley Neighborhood Association,Association,https://example.org/visitacionvalley-assoc,info@visitacionvalleyassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Visitacion Valley."
Visitacion Valley,Visitacion Valley Merchants & Business Alliance,Business Group,https://example.org/visitacionvalley-merchants,contact@visitacionvalleymerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Visitacion Valley."
West Portal,West Portal Neighborhood Association,Association,https://example.org/westportal-neighborhood,info@westportalcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in West Portal."
West Portal,Friends of West Portal,Community Group,https://example.org/friends-of-westportal,hello@friendsofwestportal.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across West Portal."
Western Addition,Western Addition Neighborhood Association,Association,https://example.org/westernaddition-assoc,info@westernadditionassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Western Addition."
Western Addition,Western Addition Merchants & Business Alliance,Business Group,https://example.org/westernaddition-merchants,contact@westernadditionmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Western Addition."
Westwood Highlands,Westwood Highlands Neighborhood Association,Association,https://example.org/westwoodhighlands-neighborhood,info@westwoodhighlandscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Westwood Highlands."
Westwood Highlands,Friends of Westwood Highlands,Community Group,https://example.org/friends-of-westwoodhighlands,hello@friendsofwestwoodhighlands.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Westwood Highlands."
Westwood Park,Westwood Park Neighborhood Association,Association,https://example.org/westwoodpark-neighborhood,info@westwoodparkcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Westwood Park."
Westwood Park,Friends of Westwood Park,Community Group,https://example.org/friends-of-westwoodpark,hello@friendsofwestwoodpark.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Westwood Park."
Yerba Buena Island,Treasure Island YBI Neighborhood Association,Association,https://example.org/treasureislandybi-assoc,info@treasureislandybiassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Yerba Buena Island."
Yerba Buena Island,Treasure Island YBI Merchants & Business Alliance,Business Group,https://example.org/treasureislandybi-merchants,contact@treasureislandybimerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Yerba Buena Island."
